501,15VA CERRADA EL POCITO
502,15VO DE PINO
503,16 (LAURA MENDEZ)
504,16 1/2 ORIENTE
505,16 A
506,16 BISERIS
507,16 C
508,16 DE ABRIL
509,16 DE AGOSTO
510,16 DE CORREGIDORA
511,16 DE DICIEMBRE
512,16 DE ENERO
513,16 DE ENERO 2 NORTE
514,16 DE ENERO 2 SUR
515,16 DE ENERO DE 1859
516,16 DE ENERO DE 1869
517,16 DE ENERO DE 1869 (ALDAMA)
518,16 DE ENERO DE 1969
519,16 DE FEBRERO
520,16 DE JULIO
521,16 DE JUNIO
522,16 DE JUNIO DEL 2002
523,16 DE MARZO
524,16 DE MARZO DE 1861
525,16 DE MAYO
526,16 DE NOVIEMBRE
527,16 DE OCTUBRE
528,16 DE SEP
529,16 DE SEPIEMBRE
530,16 DE SEPT
531,16 DE SEPTIEMBRE
532,16 DE SEPTIEMBRE (B)
533,16 DE SEPTIEMBRE (CERRADA 20 DE AGOSTO)
534,16 DE SEPTIEMBRE (PRIVADA INSURGENTES)
535,16 DE SEPTIEMBRE (ROMA)
536,16 DE SEPTIEMBRE 1
537,16 DE SEPTIEMBRE 2
538,16 DE SEPTIEMBRE DE 1810
539,16 DE SEPTIEMBRE DE 1823
540,16 DE SEPTIEMBRE MELCHOR OCAMPO
541,16 DE SEPTIEMBRE NORTE
542,16 DE SEPTIEMBRE OESTE
543,16 DE SEPTIEMBRE ORIENTE
544,16 DE SEPTIEMBRE PONIENTE
545,16 DE SEPTIEMBRE PRIMERA
546,16 DE SEPTIEMBRE SEGUNDA
547,16 DE SEPTIEMBRE SUR
548,16 DE SEPTIEMBRE-SOR JUANA INES DE LA CRUZ
549,16 DOLORES GUERRERO
550,16 JALISCO
551,16 LAS BOMBAS
552,16 LUIS YUREN
553,16 N
554,16 NORTE
555,16 ORIENTE
556,16 PONIENTE
557,16 SUR
558,16.5 NORTE
559,16A
560,16-A
561,16A NORTE
562,16A ORIENTE
563,16A.
564,16-B
565,16-C
566,17 1/2 A.
567,17 1/2 ORIENTE
568,17 A
569,17 ADOLFO RUIZ CORTINES
570,17 AYUNTAMIENTO
571,17 C
572,17 CAFETALES
573,17 DE ABRIL
574,17 DE AGOSTO
575,17 DE CORREGIDORA
576,17 DE DICIEMBRE
577,17 DE ENERO
578,17 DE ENERO DE 1811
579,17 DE FEBRERO
580,17 DE JULIO
581,17 DE JUNIO
582,17 DE MARZO
583,17 DE MARZO DE 1980
584,17 DE MAYO
585,17 DE NOVIEMBRE
586,17 DE OCTUBRE
587,17 DE SEPTIEMBRE
588,17 ELVIRA VARGAS
589,17 FRANCISCO J. MACIN
590,17 NORTE
591,17 NORTE B
592,17 NORTE G1 DE VERACRUZ
593,17 ORIENTE
594,17 PONIENTE
595,17 RUIZ CORTINEZ
596,17 SIMON BOLIVAR
597,17 SUR
598,17.5 NORTE
599,175 ANIVERSARIO
600,17A
601,17-A
